Country,State,Year,Food Grains Allocated (UOM:MT(Metrictonne)),Ration Cards Issued (UOM:Number),Transaction For Ration Cards (UOM:Number),Aadhaar Authenticated Transactions (UOM:Number),Aadhaar Authenticated Transactions (%) (UOM:%(Percentage)),Epos (Electronic Point Of Sale System) Distribution Of Food Grains (UOM:MT(Metrictonne)),Manual Distribution Of Food Grains (UOM:MT(Metrictonne)),Distribution Of Food Grains (UOM:MT(Metrictonne))
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",232631,10687017,9421525,9421435,100,210446.08,0,210446.08
India,Nagaland,"Calendar Year (Jan - Dec), 2021",7632.11,298990,285928,84038,29.39,5998.24,0,5998.24
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",10800.27,414820,103742,90,0.09,2869.87,5311.19,8181.06
India,West Bengal,"Calendar Year (Jan - Dec), 2019",330516.44,1064402,459338,0,0,4427.37,322867.52,327294.89
India,Assam,"Calendar Year (Jan - Dec), 2019",135479.33,5789395,0,0,0,0,139022.09,139022.09
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",202114.13,11199355,10816220,6608056,61.09,194469.53,0,194469.53
India,Jharkhand,"Calendar Year (Jan - Dec), 2021",144959.47,5797079,5503388,3609701,65.59,138729.78,0,138729.78
India,Gujarat,"Calendar Year (Jan - Dec), 2021",198288.02,7158654,6379113,5771920,90.48,167563.6,0,167563.6
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2017",297039.11,11407162,9104530,1102419,12.11,230983.98,0,230983.98
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",115338,5119219,8417996,348770,4.14,112860.7,1462.5,114323.2
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",33454.8,1331838,0,0,0,0,35663.6,35663.6
India,Mizoram,"Calendar Year (Jan - Dec), 2021",3827.96,164483,157285,115297,73.3,3763.56,0,3763.56
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2021",38927.63261,1507912.255,1428470.562,1103704.299,77.26,33252.88922,112.3479136,33365.23713
India,Mizoram,"Calendar Year (Jan - Dec), 2020",3827.96,155525,129940,22102,17.01,3302.84,0,3302.84
India,Ladakh,"Calendar Year (Jan - Dec), 2018",870.4173886,36465.18938,22335.91706,3403.280035,15.24,525.0374362,289.6823203,814.7197565
India,Sikkim,"Calendar Year (Jan - Dec), 2019",2197.94,95473,28821,28821,100,737.45,1828.96,2566.41
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",383766,14406671,12310808,12310808,100,296322.2,32256.31,328578.51
India,Bihar,"Calendar Year (Jan - Dec), 2019",457821.73,3392339,110631,98286,88.84,3296,433496.05,436792.05
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",33454.8,1334995,423450,93863,22.17,10144.19,19681.81,29826
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",232631,11186979,10193349,9926911,97.39,240268.33,0,240268.33
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",811798.34,35253765,32853271,32376913,98.55,756627.63,774.25,757401.89
India,Sikkim,"Calendar Year (Jan - Dec), 2018",2197.94,59029,9603,9603,100,243.74,2086.86,2330.6
India,Manipur,"Calendar Year (Jan - Dec), 2019",12461.24,564100,0,0,0,0,12920.67,12920.67
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",115338,5115850,5095919,136623,2.68,112972.41,1418,114390.41
India,Karnataka,"Calendar Year (Jan - Dec), 2020",217403,12738616,11632717,11632716,100,289778.16,1068.11,290846.26
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",232631,10661830,9256401,9256331,100,207494.27,0,207494.27
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2018",16857.47,689363,570830,610,0.11,13504.39,2722.78,16227.16
India,Odisha,"Calendar Year (Jan - Dec), 2017",179926.06,8590813,16211737,5690534,35.1,163.74,0,163.74
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",154148.03,8953109,8460428,8460428,100,144852.46,54.92,144907.38
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",202114.13,10004252,10187880,0,0,193243.11,0,193243.11
India,Delhi,"Calendar Year (Jan - Dec), 2020",37572.75,934287,0,0,0,0,22786.66,22786.66
India,West Bengal,"Calendar Year (Jan - Dec), 2018",330516.44,56339730,0,0,0,0,328174.24,328174.24
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2018",332.7,14374,1497,0,0,23.6,231.41,255.02
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2017",928.95,33546,30470,14825,48.65,750.19,0,750.19
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",144959.47,5702178,4765431,4061888,85.24,138506.57,0,138506.57
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",126.85,5161,15,0,0,0.53,0,0.53
India,Telangana,"Calendar Year (Jan - Dec), 2018",108004.23,5192173,8634945,8634945,100,93078.1,1017.98,94096.08
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",297039.11,11723309,9043102,8241188,91.13,248022.09,11346.26,259368.35
India,West Bengal,"Calendar Year (Jan - Dec), 2021",330516.44,55462666,16810237,3684384,21.92,320483.66,0,320483.66
India,Bihar,"Calendar Year (Jan - Dec), 2021",457821.73,17612669,16489550,16436961,99.68,431224.77,0,431224.77
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",4677.46,174510,849,0,0,12.76,4276.9,4289.66
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",811798.34,33175307,4949703,4597045,92.88,116187.26,631917.26,748104.53
India,Assam,"Calendar Year (Jan - Dec), 2017",135479.33,180390,0,0,0,0,4306.26,4306.26
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2018",38927.63261,1630696.807,915654.0801,161812.8826,17.67,21505.69513,14536.94557,36042.6407
